epoch,accuracy,loss,val_accuracy,val_loss
0,0.2813403606414795,1.783179521560669,0.3314293622970581,1.7602860927581787
1,0.34640705585479736,1.655754566192627,0.3872945010662079,1.569111704826355
2,0.37263575196266174,1.59911048412323,0.43257173895835876,1.4824800491333008
3,0.39559024572372437,1.5461068153381348,0.4562552273273468,1.4189817905426025
4,0.415200799703598,1.5064586400985718,0.47631651163101196,1.3548113107681274
5,0.4333484172821045,1.4774056673049927,0.4928949475288391,1.3141448497772217
6,0.4418475031852722,1.4448448419570923,0.48411813378334045,1.3288078308105469
7,0.45299383997917175,1.4232099056243896,0.5029256343841553,1.2858519554138184
8,0.45898500084877014,1.4056272506713867,0.5009751915931702,1.2890182733535767
9,0.4619109034538269,1.395089030265808,0.5066871047019958,1.2779062986373901
10,0.47229093313217163,1.3798798322677612,0.5245193839073181,1.2357993125915527
11,0.4780034124851227,1.3659553527832031,0.5325996279716492,1.225813388824463
12,0.4821832776069641,1.35427725315094,0.5358038544654846,1.2167657613754272
13,0.48789578676223755,1.340977430343628,0.5410978198051453,1.2131608724594116
14,0.4926677942276001,1.3332043886184692,0.5451379418373108,1.204499363899231
15,0.4913790225982666,1.3295292854309082,0.5383114814758301,1.2047734260559082
16,0.49576789140701294,1.3242595195770264,0.5239620804786682,1.2326866388320923
17,0.4919711649417877,1.324533224105835,0.5151852965354919,1.2653164863586426
18,0.5007140636444092,1.3082828521728516,0.5390080809593201,1.2066723108291626
19,0.5015848875045776,1.3076708316802979,0.554611325263977,1.1586062908172607
20,0.5036399960517883,1.3086477518081665,0.5536361336708069,1.1759501695632935
21,0.5034658312797546,1.3022704124450684,0.5551685690879822,1.162461519241333
22,0.5076805353164673,1.2993732690811157,0.5479242205619812,1.1770579814910889
23,0.5058692693710327,1.2953312397003174,0.546949028968811,1.1891618967056274
24,0.5066355466842651,1.2894316911697388,0.5564224123954773,1.1586828231811523
25,0.50677490234375,1.2909221649169922,0.5557258129119873,1.1483941078186035
26,0.5091782808303833,1.2854819297790527,0.5583727955818176,1.1467050313949585
27,0.5124525427818298,1.2788794040679932,0.5684034824371338,1.1321690082550049
28,0.5121042132377625,1.278507113456726,0.5642240047454834,1.1434026956558228
29,0.5122435688972473,1.2779090404510498,0.5713290572166443,1.1337981224060059
